fecha,hora,pm10_ugm3,humedad_relativa_pct,direccion_viento_grados,velocidad_viento_ms,precipitacion_mm,condicion_lluvia,estacion_anio,n_eventos,numero_taladros,tonelaje_tm,anfo_kg,emulsion_kg,explosivo_total_kg,p80,mes,tiempo_taladro_ms,tiempo_fila_ms,n_retardos_taladro,n_retardos_fila
2023-01-01,13,8.2,72.0,303.0,1.7,0.0,Seco,Verano,2,260,112382.0,5905,24268,30173,8.795,1,33.0,364.0,1,1
2023-01-02,12,11.3,45.0,293.0,1.0,0.0,Seco,Verano,4,395,212388.0,6411,39185,45597,20.735999999999997,1,67.0,332.0,1,1
2023-01-03,12,56.6,38.0,317.0,1.4,0.0,Seco,Verano,1,164,74682.0,4081,16778,20858,4.642,1,17.0,25.0,1,2
2023-01-04,12,13.6,47.0,321.0,0.3,0.0,Seco,Verano,3,357,164722.0,8333,34261,42594,15.59,1,41.0,224.0,1,1
2023-01-05,7,12.0,94.0,165.0,0.0,0.0,Seco,Verano,1,167,92538.0,4103,16870,20973,5.5,1,7.0,182.0,2,1
2023-01-06,12,16.7,34.0,312.0,2.5,0.0,Seco,Verano,1,94,60023.0,2279,9365,11644,5.95,1,17.0,75.0,1,1
2023-01-07,12,127.2,46.0,309.0,2.4,0.0,Seco,Verano,2,281,147777.0,6958,24738,31695,10.600000000000001,1,7.0,364.0,1,1
2023-01-08,13,19.6,47.0,308.0,1.6,0.0,Seco,Verano,1,292,125232.0,6417,26385,32803,6.75,1,7.0,182.0,1,1
2023-01-09,12,12.0,60.0,302.0,2.0,0.0,Seco,Verano,1,120,46830.0,2062,8543,10605,5.37,1,26.0,182.0,1,1
2023-01-10,12,,66.0,125.0,0.0,0.0,Seco,Verano,1,53,52683.0,839,3448,4287,5.37,1,26.0,182.0,1,1
2023-01-11,12,,66.0,320.0,1.9,0.0,Seco,Verano,2,123,60156.0,2400,9662,12061,11.29,1,26.0,364.0,1,1
2023-01-12,12,,65.0,304.0,2.3,0.0,Seco,Verano,2,214,104938.0,4056,19179,23235,11.38,1,,282.0,1,1
