variable,rho_spearman,p_valor,significativa_5%,n
humedad_relativa_pct,-0.439,0.0,True,401
mes_sin,-0.367,0.0,True,402
mes_cos,-0.283,0.0,True,402
indice_seco,0.266,0.0,True,401
precipitacion_mm,-0.261,0.0,True,400
viento_cos,-0.246,0.0,True,401
fraccion_emulsion,-0.207,0.0,True,402
velocidad_viento_ms,0.116,0.0197,True,401
hora,-0.092,0.0646,False,402
anfo_kg,0.092,0.0652,False,402
emulsion_kg,-0.089,0.0759,False,402
factor_carga_kg_t,-0.055,0.2774,False,391
tiempo_taladro_ms,-0.054,0.2757,False,402
numero_taladros,-0.052,0.3022,False,402
explosivo_total_kg,-0.049,0.3223,False,402
explosivo_por_taladro,0.042,0.397,False,402
viento_sin,0.03,0.545,False,401
tonelaje_tm,-0.029,0.5712,False,391
tiempo_fila_ms,-0.01,0.848,False,402
n_eventos,0.003,0.9559,False,402
