variable,perdida_R2_regresion,perdida_AUC_clasificacion
humedad_relativa_pct,0.6141,0.178
hora,0.2778,0.0718
viento_cos,0.0447,0.0628
mes_sin,0.0658,0.0131
anfo_kg,0.0263,0.0102
velocidad_viento_ms,0.3372,0.009
tiempo_fila_ms,0.0226,0.0088
indice_seco,0.0618,0.0082
n_eventos,0.1078,0.0047
precipitacion_mm,0.0007,0.0028
fraccion_emulsion,0.1023,-0.0038
explosivo_por_taladro,0.0728,-0.0038
tonelaje_tm,0.0624,-0.0044
explosivo_total_kg,0.1069,-0.0057
numero_taladros,0.1163,-0.0068
mes_cos,0.0119,-0.0073
emulsion_kg,0.1716,-0.0076
viento_sin,0.0619,-0.0154
factor_carga_kg_t,0.0017,-0.017
tiempo_taladro_ms,-0.0107,-0.031
